blocks m gputime
67 400 151426.921875
68 100 38463.28515625
68 10 4184.5517578125
68 1 717.15887451171875
68 200 76619.203125
68 300 116854.6171875
68 400 160029.578125
69 100 39045.265625
69 10 4263.1279296875
69 1 737.5784912109375
69 200 78196.1953125
69 300 118551.5546875
69 400 155362.328125
70 100 40382.1328125
70 10 4335.73779296875
70 1 740.25836181640625
70 200 80561.5390625
70 300 119347.2890625
70 400 163210.890625
7 100 6014.724609375
7 10 638.82183837890625
71 100 45068.80859375
71 10 4614.21044921875
71 1 834.38446044921875
71 200 87536.1640625
71 300 131182.0625
71 400 174712.671875
7 1 89.4241943359375
7 200 12624.40234375
72 100 44379.83984375
72 10 4781.07470703125
72 1 788.23883056640625
72 200 90066.9609375
72 300 131796.6875
72 400 176122.15625
7 300 18221.1328125
73 100 43869.34375
73 10 4844.97607421875
73 1 802.77850341796875
73 200 90709.640625
73 300 131757.0625
73 400 174951.34375
7 400 24572.1640625
74 100 44804.87890625
74 10 4858.0556640625
74 1 800.9822998046875
74 200 90508.796875
74 300 134797.90625
74 400 178884.953125
75 100 45509.171875
75 10 4936.30810546875
75 1 832.3031005859375
75 200 89122.9140625
75 300 136938.875
75 400 177115.796875
76 100 46089.3984375
76 10 4925.37939453125
76 1 821.55255126953125
76 200 92136.703125
76 300 133944.828125
76 400 178551.4375
77 100 45560.4609375
77 10 4905.1123046875
77 1 838.43963623046875
77 200 89866.0078125
77 300 134638.578125
77 400 176907.640625
78 100 45735.48046875
78 10 4951.00732421875
78 1 823.13214111328125
78 200 92363.953125
78 300 136849.59375
78 400 186504.578125
79 100 45878.4140625
79 10 4942.8671875
79 1 837.82440185546875
79 200 90755.53125
79 300 138372.34375
79 400 181326.875
80 100 46291.3515625
80 10 5091.29248046875
80 1 839.4334716796875
80 200 90857.375
80 300 135997.796875
80 400 182584.765625
8 100 6293.18212890625
8 10 649.3795166015625
81 100 46121.72265625
81 10 5050.484375
81 1 856.13897705078125
81 200 90887.484375
81 300 135800.96875
81 400 186267.8125
8 1 92.4937591552734375
8 200 12411.443359375
82 100 47163.59765625
82 10 5076.14111328125
82 1 856.8433837890625
82 200 94234.59375
82 300 138233.15625
82 400 182054.375
8 300 18516.927734375
83 100 47076.19921875
83 10 5162.2744140625
83 1 875.06866455078125
83 200 92721.890625
83 300 141569.84375
83 400 188111.109375
8 400 24221.10546875
84 100 48165.46875
84 10 5243.6689453125
84 1 871.67822265625
84 200 94459.3515625
84 300 143336
84 400 193196.0625
85 100 50841.54296875
85 10 5452.59033203125
85 1 915.9290771484375
85 200 100518.953125
85 300 151565.03125
85 400 201570.296875
86 100 50983.02734375
86 10 5527.92529296875
86 1 917.79852294921875
86 200 102007.96875
86 300 154475.203125
86 400 205250.921875
87 100 51268.84375
87 10 5537.21435546875
87 1 920.4716796875
87 200 102681.7109375
87 300 156169.53125
87 400 208139.234375
88 100 51787.2265625
88 10 5601.380859375
88 1 932.604248046875
88 200 103277.1171875
88 300 153725.875
88 400 204204.09375
9 100 6376.73974609375
9 10 657.4833984375
9 1 95.1940765380859375
9 200 12700.984375
9 300 18982.45703125
9 400 25197.388671875
